algos,Edin,Glas,Melb,Osak,Toro
rand,2.4069169077011185e-45,3.3568832448130392e-15,8.269299733025108e-17,6.617391918939634e-05,2.2071334414301444e-27
PT,0.04581481888363589,1.0,5.972717759196317e-16,0.23301527641120734,0.2375456004153293
PT-L,1.578663669999122e-12,5.912951056953172e-13,3.57967759571055e-12,0.02619893674167431,2.0257455653171543e-23
POIP,0.18601986746451715,9.800878770063631e-05,0.0016658526001042534,0.003794935638231119,3.9199573882194835e-12
POIR,0.05488895197521332,0.007900926051926514,0.1553443537945682,1.0,1.0
M,0.001082229913890776,0.00014359018761281753,2.2616843304123235e-07,0.08295235027710843,8.124367568950236e-09
MP,6.178492764032639e-07,4.3946057865765486e-05,1.2949807290028185e-06,0.07154558239571346,2.5005479598608583e-09
R+M,1.0,0.006695032754929839,1.0,0.22660141892052288,0.2894864571200839
R+MP,0.00010288814607117651,0.0026674704456148115,0.03456008419501533,0.247450396644888,0.35662000565228635
